,U2AF1,loc6230889
MUT2_LACZ.3,6241,2109
MUT2_KRAS_WT.1,6241,2038
MUT2_LACZ.1,6241,2118
WT2_KRAS_WT.3,6241,1599
MUT2_KJRAS_V12.3,6241,1905
WT2_LACZ.2,6241,2323
MUT2_LACZ.2,6241,2448
WT2_LACZ.3,6241,2135
MUT2_KRAS_WT.3,6241,2264
MUT2_KRAS_WT.2,6241,1780
WT2_KRAS_V12.2,6241,2332
WT2_LACZ.1,6241,1776
WT2_KRAS_WT.2,6241,1787
WT2_KRAS_V12.3,6241,1412
MUT2_KJRAS_V12.2,6241,2104
MUT2_KJRAS_V12.1,6241,2780
WT2_KRAS_V12.1,6241,2086
WT2_KRAS_WT.1,6241,1971
